Customer_ID,Customer_Name,Customer_Segment,Product_Category,Sales_Amount_AED,Monthly_Visit_Frequency,Transaction_Date,Payment_Method,Store_Location,Country
LULU-10472,Mohammed Abbas,Premium,Electronics,11195.856,2,2024-07-16,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10844,Fatima Al-Harbi,Premium,Electronics,11009.194,1,2024-11-02,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10284,Mariam Al-Maktoum,Premium,Electronics,10980.452,2,2024-05-13,Credit Card,Al Barsha,United Arab Emirates
LULU-10488,Reem Ibrahim,Premium,Electronics,10694.488,1,2024-04-22,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10833,Aisha Ibrahim,Premium,Electronics,9531.564,2,2024-01-28,Cash,Jumeirah,United Arab Emirates
LULU-10981,Layla Al-Rashid,Premium,Electronics,9160.367999999999,1,2024-07-01,Debit Card,Jumeirah,United Arab Emirates
LULU-10832,Mariam Al-Rashid,Premium,Electronics,9098.46,2,2024-08-16,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10283,Abdullah Al-Rashid,Premium,Electronics,9018.632,2,2024-08-07,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10411,Aisha Al-Rashid,Premium,Electronics,8680.658,2,2024-04-06,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10077,Sara Mansoor,Loyalty,Electronics,8580.517000000002,4,2024-09-17,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10192,Noora Al-Harbi,Premium,Electronics,8544.367999999999,2,2024-01-10,Cash,Muwaileh,United Arab Emirates
LULU-10274,Youssef Al-Farsi,Loyalty,Electronics,8462.498000000001,4,2024-09-13,Credit Card,Jumeirah,United Arab Emirates
LULU-10494,Youssef Al-Rashid,Premium,Electronics,8431.752,1,2024-04-03,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10183,Layla Al-Farsi,Premium,Electronics,8317.652,1,2024-01-18,Cash,Muwaileh,United Arab Emirates
LULU-10603,Layla Malik,Premium,Electronics,8138.059999999999,2,2024-02-23,Lulu Pay,Deira,United Arab Emirates
LULU-10983,Noora Al-Maktoum,Loyalty,Electronics,8127.273000000001,4,2024-01-14,Cash,Al Qusais,United Arab Emirates
LULU-10631,Mariam Malik,Standard,Electronics,7984.55,2,2024-07-14,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10309,Zainab Ibrahim,Premium,Electronics,7954.6179999999995,2,2024-08-22,Cash,Jumeirah,United Arab Emirates
LULU-10450,Omar Abbas,Standard,Electronics,7877.43,1,2024-12-11,Cash,Al Qusais,United Arab Emirates
LULU-10189,Fatima Al-Harbi,Premium,Electronics,7714.028,1,2024-09-17,Credit Card,Al Qusais,United Arab Emirates
LULU-10741,Omar Al-Rashid,Loyalty,Electronics,7699.791000000001,3,2024-03-06,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10317,Aisha Al-Rashid,Budget,Electronics,7677.03,1,2024-09-20,Credit Card,Al Qusais,United Arab Emirates
LULU-10839,Omar Al-Rashid,Standard,Electronics,7659.96,1,2024-09-23,Credit Card,Muwaileh,United Arab Emirates
